id;tracking_code;date;details
1;Mouse withdrawal;2020-02-01T08:54:17;payment unleash Jamaican Dollar
2;Rest;2020-02-02T04:10:47;Plains
3;Quality Plastic plum;2020-02-01T08:31:09;Minnesota parsing
4;Gorgeous Soft Hat Generic;2020-02-02T04:58:21;Architect SSL
5;zero tolerance;2020-02-02T01:54:40;user-facing CSS
6;ADP Ouguiya;2020-02-01T21:51:08;Garden
7;auxiliary;2020-02-02T06:07:08;functionalities Bedfordshire withdrawal
8;Data;2020-02-01T09:05:09;Viaduct hybrid
9;mesh;2020-02-02T07:30:48;human-resource Shoes Wooden
10;calculate value-added Metal;2020-02-02T05:29:42;Re-engineered withdrawal Ball
